selection_status,selection_reason,rank,strategy_id,label,asset_key,trades,overall_pf,total_r,max_drawdown_r,win_rate_pct,min_planned_rr,min_half_pf,min_quarter_pf,rolling20_pf_p25,bootstrap_pf_p05,block_bootstrap_pf_p05,annual_windows,annual_pass_rate,worst_annual_pf,split_first70_pf,split_last30_pf,overfit_risk,duplicate_of,exact_overlap,exact_containment,near_overlap,near_containment,score
selected,pf_rr_stress_low_overfit_nonduplicate,1,competition_copper_futures_london_first30_last30_reversal_month_1_xasset_rr_5_d91f5efb,HG cross-asset London opening-range reversal into the US close (January filter) true 5R,copper_futures,77,2.881,18.355,1.387,53.2,4.774,1.911,1.180,1.599,1.712,1.747,5,1.000,1.214,2.057,6.817,Low,,0,0.000,0,0.000,5.697
selected,pf_rr_stress_low_overfit_nonduplicate,2,competition_gold_futures_us_first30_last30_reversal_signalmonth_month_10_xasset_rr_5_5519d329,GC cross-asset cross-asset cross-asset US opening-range reversal into the close (October true 5R) true 5R true 5R,gold_futures,50,2.924,9.441,1.191,62.0,4.914,2.764,2.023,2.543,1.610,1.804,4,1.000,2.023,2.814,3.191,Low,,0,0.000,0,0.000,5.467
selected,pf_rr_stress_low_overfit_nonduplicate,3,competition_silver_futures_us_first30_last30_reversal_signalmonth_xasset_rr_5_6a54acc6,SI cross-asset US opening-range reversal into the close (December filter) true 5R,silver_futures,58,2.833,11.279,0.840,55.2,4.832,2.216,1.304,2.643,1.507,2.193,4,1.000,1.341,2.456,4.868,Low,,0,0.000,0,0.000,5.388
selected,pf_rr_stress_low_overfit_nonduplicate,4,competition_dow_jones_futures_us_first30_last30_momentum_signalmonth_month_3_xasset_rr_5_3d9679eb,YM cross-asset cross-asset USDCAD March US first30 last30 momentum true 5R true 5R,dow_jones_futures,61,3.147,35.924,6.021,59.0,4.934,2.042,1.065,1.975,1.925,1.554,5,1.000,1.210,3.821,1.382,Low,,0,0.000,0,0.000,5.350
selected,pf_rr_stress_low_overfit_nonduplicate,5,competition_dow_jones_futures_daily_tsmom_next_overnight_weekday_side_1_long_xasset_rr_4_373963bd,YM cross-asset 20-day daily mean reversion overnight (Tuesday longs) true 4R,dow_jones_futures,90,2.356,67.489,5.005,40.0,3.962,1.693,1.477,1.764,1.547,1.571,5,1.000,1.637,2.259,7.452,Low,,0,0.000,0,0.000,5.348
selected,pf_rr_stress_low_overfit_nonduplicate,6,competition_silver_futures_daily_tsmom_next_overnight_weekday_side_4_long_xasset_rr_5_e11e58c1,SI cross-asset 20-day daily momentum overnight (Friday longs) true 5R,silver_futures,131,2.288,63.147,5.863,45.0,4.793,2.245,1.096,1.169,1.536,1.489,5,1.000,1.240,2.983,2.882,Low,,0,0.000,0,0.000,5.206
selected,pf_rr_stress_low_overfit_nonduplicate,7,competition_australian_dollar_futures_london_first30_ny_open_momentum_weekday_side_0_short_xasset_rr_5_4fbf7cea,6A cross-asset cross-asset London opening-range continuation into New York (Monday shorts) true 5R true 5R,australian_dollar_futures,96,2.348,58.147,5.242,50.5,4.687,1.892,1.471,2.351,1.571,1.630,5,0.800,0.537,2.694,1.826,Low,,0,0.000,0,0.000,4.995
selected,pf_rr_stress_low_overfit_nonduplicate,8,competition_canadian_dollar_futures_london_first30_ny_open_momentum_weekday_side_0_short_xasset_rr_5_b5089070,6C cross-asset cross-asset London opening-range continuation into New York (Monday shorts) true 5R true 5R,canadian_dollar_futures,98,2.332,72.220,5.247,42.9,4.305,2.274,1.360,1.900,1.608,1.807,5,0.800,0.077,2.689,1.611,Low,,0,0.000,0,0.000,4.973
selected,pf_rr_stress_low_overfit_nonduplicate,9,competition_british_pound_futures_us_first30_last30_reversal_signalmonth_xasset_rr_5_5f0cb0e3,6B cross-asset cross-asset US opening-range reversal into the close (October filter) true 5R true 5R,british_pound_futures,57,2.451,11.101,1.318,56.1,4.618,1.715,1.515,1.579,1.323,1.321,4,1.000,1.401,2.112,4.204,Low,,0,0.000,0,0.000,4.787
selected,pf_rr_stress_low_overfit_nonduplicate,10,competition_copper_futures_us_first30_last30_reversal_weekday_side_0_long_xasset_rr_5_412871d7,HG cross-asset US opening-range reversal into the close (Monday longs) true 5R,copper_futures,65,2.564,7.191,1.605,55.4,4.840,1.747,1.435,1.411,1.518,1.185,4,0.750,0.668,3.143,1.642,Low,,0,0.000,0,0.000,4.777
