rank,strategy_id,label,folder,asset_key,phase,source,metadata_file,overall_pf,overall_trades,overall_total_r,win_rate_pct,max_drawdown_r,ml_used,model,split_basis,pre_split_pf,pre_split_trades,post_split_pf,post_split_trades,observed_first70_pf,observed_first70_trades,observed_last30_pf,observed_last30_trades,overfit_risk,overfit_notes,variant_id,key_params
1,competition_usd_jpy_us_first30_last30_reversal_signalweekdayside_direction_opposite_entryminute_930_ex_40e6d9ae,USDJPY US opening-range reversal into the close (Wednesday longs),competition_usd_jpy_us_first30_last30_reversal_signalweekdayside_direction_opposite_entryminute_930_ex_40e6d9ae,usd_jpy,competition_session_edge,competition_session_edge_train_forward_2026,machine_learning/selection.json,4.282,74,19.41,66.2,1.53,yes,ML scorer,true_pre2022_vs_2022_forward,1.043,48,4.103,74,2.925,52,26.468,22,Medium,forward stronger than fit sample; ML fit sample under 50 trades,competition_session_edge|family=us_first30_last30_reversal_signalweekdayside|direction=opposite|entry=930|exit=945|min_signal_atr=0.35|signal_end=585|signal_start=570|signal_weekday_side=2_long|risk_reward=2|managed_exit=bracket,direction=opposite; risk_reward=2; entry=930; exit=945; family=us_first30_last30_reversal_signalweekdayside; min_signal_atr=0.35
2,competition_micro_bitcoin_futures_daily_tsmom_next_overnight_signalweekdayside_direction_contrarian_en_6003fc2d,MBT 3-day daily mean reversion overnight (Tuesday longs),competition_micro_bitcoin_futures_daily_tsmom_next_overnight_signalweekdayside_direction_contrarian_en_6003fc2d,micro_bitcoin_futures,competition_session_edge,competition_session_edge_train_forward_2026,machine_learning/selection.json,3.719,104,199.58,61.5,9.14,yes,ML scorer,true_pre2022_vs_2022_forward,1.018,20,3.719,104,3.834,73,3.408,31,Medium,forward stronger than fit sample; ML fit sample under 50 trades,competition_session_edge|family=daily_tsmom_next_overnight_signalweekdayside|direction=contrarian|entry=945|exit=570|lookback=3|signal_weekday_side=1_long,direction=contrarian; entry=945; exit=570; family=daily_tsmom_next_overnight_signalweekdayside; lookback=3; signal_weekday_side=1_long
3,competition_japanese_yen_futures_us_first30_last30_reversal_signalweekdayside_direction_opposite_entry_11a69e11,6J US opening-range reversal into the close (Wednesday shorts),competition_japanese_yen_futures_us_first30_last30_reversal_signalweekdayside_direction_opposite_entry_11a69e11,japanese_yen_futures,competition_session_edge,competition_session_edge_train_forward_2026,machine_learning/selection.json,3.626,74,18.45,64.9,1.55,yes,ML scorer,true_pre2022_vs_2022_forward,1.192,207,4.350,75,2.635,52,12.401,22,Low,forward stronger than fit sample,competition_session_edge|family=us_first30_last30_reversal_signalweekdayside|direction=opposite|entry=930|exit=945|min_signal_atr=0.35|signal_end=585|signal_start=570|signal_weekday_side=2_short,direction=opposite; entry=930; exit=945; family=us_first30_last30_reversal_signalweekdayside; min_signal_atr=0.35; signal_end=585
4,competition_eur_jpy_us_first30_last30_momentum_signalweekdayside_direction_same_entryminute_930_exitba_0a4a3f58,EURJPY US opening-range continuation into the close (Wednesday longs),competition_eur_jpy_us_first30_last30_momentum_signalweekdayside_direction_same_entryminute_930_exitba_0a4a3f58,eur_jpy,competition_session_edge,competition_session_edge_train_forward_2026,machine_learning/selection.json,3.576,65,13.76,64.6,1.03,yes,ML scorer,true_pre2022_vs_2022_forward,1.058,23,3.561,64,3.516,46,3.745,19,Medium,forward stronger than fit sample; ML fit sample under 50 trades,competition_session_edge|family=us_first30_last30_momentum_signalweekdayside|direction=same|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_start=570|signal_weekday_side=2_long|risk_reward=2|managed_exit=bracket,direction=same; risk_reward=2; entry=930; exit=945; family=us_first30_last30_momentum_signalweekdayside; min_signal_atr=0.5
5,competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_5c432e4e,AUDUSD US opening-range reversal into the close (October true 5R),competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_5c432e4e,aud_usd,competition_session_edge,competition_session_edge_train_forward_2026,machine_learning/selection.json,3.501,41,9.75,53.7,1.06,yes,ML scorer,true_pre2022_vs_2022_forward,1.369,22,3.647,42,2.007,29,12.187,12,Medium,small total sample; forward stronger than fit sample,competition_session_edge|family=us_first30_last30_reversal_signalmonth_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.75|signal_end=585|signal_start=570|signal_month=10|risk_reward=5|managed_exit=bracket,direction=opposite; risk_reward=5; entry=930; exit=945; family=us_first30_last30_reversal_signalmonth_month_10; min_signal_atr=0.75
6,competition_eur_gbp_us_first30_midday_reversal_weekday_side_3_short_true_rr_5_a5fd6477,EURGBP EURGBP US first30 midday reversal Wednesday shorts true 5R,competition_eur_gbp_us_first30_midday_reversal_weekday_side_3_short_true_rr_5_a5fd6477,eur_gbp,competition_session_edge,true_rr_addition_search_2026_05,machine_learning/selection.json,3.351,24,9.60,75.0,2.01,yes,ML scorer,true_pre2022_vs_2022_forward,0.222,11,3.351,24,4.229,17,2.441,7,High,very small total sample; thin pre-split sample; thin post-split sample; forward stronger than fit sample,competition_session_edge|family=us_first30_midday_reversal_weekday_side_3_short|direction=opposite|entry=720|exit=780|min_signal_atr=1|signal_end=585|signal_start=570|signal_weekday_side=3_short|risk_reward=5|managed_exit=bracket,direction=opposite; risk_reward=5; entry=720; exit=780; family=us_first30_midday_reversal_weekday_side_3_short; min_signal_atr=1
7,competition_usd_jpy_daily_tsmom_next_overnight_weekday_side_2_short_true_rr_3_40484fa0,USDJPY Daily Tsmom Next Overnight Tuesday shorts true 3R,competition_usd_jpy_daily_tsmom_next_overnight_weekday_side_2_short_true_rr_3_40484fa0,usd_jpy,competition_session_edge,true_rr_addition_search_2026_05,machine_learning/selection.json,3.279,65,70.40,52.3,3.97,yes,ML scorer,true_pre2022_vs_2022_forward,0.704,47,3.793,82,3.247,46,3.356,19,Medium,forward stronger than fit sample; ML fit sample under 50 trades,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_2_short|direction=momentum|entry=945|exit=570|lookback=20|risk_reward=3|signal_weekday_side=2_short|managed_exit=bracket,direction=momentum; risk_reward=3; entry=945; exit=570; family=daily_tsmom_next_overnight_weekday_side_2_short; lookback=20
8,competition_dow_jones_futures_daily_tsmom_next_overnight_signalweekdayside_direction_momentum_entrymin_c2a8817b,YM 20-day daily mean reversion overnight (Tuesday longs true 4R),competition_dow_jones_futures_daily_tsmom_next_overnight_signalweekdayside_direction_momentum_entrymin_c2a8817b,dow_jones_futures,competition_session_edge,competition_session_edge_train_forward_2026,machine_learning/selection.json,3.261,90,66.73,40.0,5.27,yes,ML scorer,true_pre2022_vs_2022_forward,0.984,193,3.261,90,2.259,63,7.452,27,Low,forward stronger than fit sample,competition_session_edge|family=daily_tsmom_next_overnight_signalweekdayside_weekday_side_1_long|direction=contrarian|entry=945|exit=570|lookback=20|signal_weekday_side=1_long|risk_reward=4|managed_exit=bracket,direction=contrarian; risk_reward=4; entry=945; exit=570; family=daily_tsmom_next_overnight_signalweekdayside_weekday_side_1_long; lookback=20
9,competition_dow_jones_futures_daily_tsmom_next_overnight_weekday_side_1_long_xasset_rr_4_373963bd,YM cross-asset 20-day daily mean reversion overnight (Tuesday longs) true 4R,competition_dow_jones_futures_daily_tsmom_next_overnight_weekday_side_1_long_xasset_rr_4_373963bd,dow_jones_futures,competition_session_edge,cross_asset_true_rr_search_2026_05,machine_learning/selection.json,3.261,90,66.73,40.0,5.27,yes,ML scorer,true_pre2022_vs_2022_forward,0.984,193,3.261,90,2.259,63,7.452,27,Low,forward stronger than fit sample,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_1_long|direction=contrarian|entry=945|exit=570|lookback=20|signal_weekday_side=1_long|risk_reward=4|managed_exit=bracket,direction=contrarian; risk_reward=4; entry=945; exit=570; family=daily_tsmom_next_overnight_weekday_side_1_long; lookback=20
10,competition_copper_futures_london_first30_last30_reversal_month_1_xasset_rr_5_d91f5efb,HG cross-asset London opening-range reversal into the US close (January filter) true 5R,competition_copper_futures_london_first30_last30_reversal_month_1_xasset_rr_5_d91f5efb,copper_futures,competition_session_edge,cross_asset_true_rr_search_2026_05,machine_learning/selection.json,3.201,77,19.33,53.2,1.39,yes,ML scorer,true_pre2022_vs_2022_forward,0.887,152,3.201,77,2.057,54,6.817,23,Low,forward stronger than fit sample,competition_session_edge|family=london_first30_last30_reversal_month_1|direction=opposite|entry=930|exit=945|min_signal_atr=0.5|signal_end=195|signal_start=180|signal_month=1|risk_reward=5|managed_exit=bracket,direction=opposite; risk_reward=5; entry=930; exit=945; family=london_first30_last30_reversal_month_1; min_signal_atr=0.5
